entity,COUNT（*）
Twitter,260649 
Verizon Media,187356 
Instagram,82471 
Путин,66604 
Отмечается,64099 
Utah,62891 
Va.,61364 
Tenn.,58550 
نوفمبر,55801 
это,51871 
brexit,51135 
Huawei,49280 
turkey,47616 
الذين,45781 
Mich.,45766 
Punjab,44857 
New Release,44576 
Mass.,43790 
Pa.,41470 
Santa,40345 
Ala.,39814 
PRWeb,39668 
Bitcoin,39036 
Guest\n  ,38869 
Infosurhoy,38830 
вЂ,38122 
City,34140 
Media,33410 
Ill.,33148 
Ga.,32081 
Bewertung,31800 
Biden,31772 
Ky.,31482 
Ore.,31388 
بناء,31029 
fla.,30680 
السعودية,30451 
Join,29757 
Новости,29286 
Idaho,28791 
Ind.,28564 
Dabei,28537 
Miss.,27934 
Ogun,27633 
lagos,26862 
Alibaba,26702 
Kan.,25619 
Wash.,24279 
Olympic,23416 
Uber,21470 
MD,19288 
N.H.,19046 
N.M.,19023 
twitter,19020 
’d,18839 
Uhr,18528 
PE,18169 
Gesamtbewertung,18021 
Ondo,17579 
n.c.,17337 
Urdu,17419 
Mars,17343 
the Western Conference,17210 
Handel,17158 
Neb.,16405 
can?t,15792 
Imo State,15687 
работы,14278 
pa.,13088 
Tottenham Hotspur,12615 
mass.,12171 
Sri Lankan,11760 
Devdiscourse,11604 
mich.,11582 
kingdom,11487 
Uyo,11479 
R.I.,11477 
Things,11404 
Prince Harry,11299 
ill.,11089 
COLUMBUS,11068 
Sheffield United,11006 
Android,10334 
Vikings,10123 
Obama,9801 
Mont.,9742 
Sikh,9623 
Unternehmens,9516 
Jos,9190 
Kingdom,8902 
utah,8893 
Kamis,8864 
Para,8819 
instagram,8639 
Valley,8598 
huawei,8559 
Santa Claus,8391 
Collective Investment Scheme,8313 
FL,8142 
won?t,7871 
States,7835 
ore.,7583 
quebec,7440 
Wolves,7418 
pacific,7324 
Telegraph,7246 
Nifty,7244 
Online,7216 
Power,7186 
LINCOLN,7102 
Beita,7045 
ga.,7022 
Mobile,6975 
punjab,6903 
Airbnb,6890 
Пресс,6710 
Kucoin,6585 
n.m.,6639 
ROCK,6354 
Branche,6353 
Realme,6341 
коронавируса,6326 
mo.,6203 
Wyo,6162 
ca,6117 
sacramento,6024 
： \n  ,6023 
the South-South,5967 
Surrey,5899 
Rohr,5869 
IoT,5846 
mt,5807 
Havana,5766 
wash.,5766 
minn.,5730 
ky.,5719 
Jupiter,5667 
Bharti Airtel,5657 
Qusra,5623 
la.,5620 
WARSAW,5592 
Grand Slam,5570 
Jahr,5545 
Marlian Fest,5534 
которые,5532 
Hamburg,5530 
PAUL,5495 
Drug Abuse,5475 
Championship,5426 
La,5420 
Segmentation,5414 
Nativeland,5291 
Super,5241 
العليا,5235 
artikel,5228 
maine,5227 
مشروع,5197 
mont.,5181 
كورة,5150 
PV,5116 
Replica,5071 
Prince George,5050 
Irrua,4993 
Hanukkah,4979 
ديسمبر,4960 
UP,4912 
Swede,4836 
Quilox,4779 
Cryptopia,4773 
Qom,4677 
b.c.,4676 
Campus,4659 
Queen,4622 
Minna,4610 
YoBit,4609 
idaho,4590 
Netflix,4578 
verizon media,4568 
Marketbeat Ratings,4567 
Love,4421 
neb.,4406 
isn?t,4399 
category,4369 
View,4355 
uae,4310 
مشيرًا,4302 
things,4288 
نتائج,4276 
Sabah,4236 
Вместе,4224 
PERTH,4205 
Channels,4124 
ny,4119 
Công,4099 
miss.,4080 
MN,4077 
mars,4073 
कहा,4052 
’s,4050 
Basra,3962 
Photo,3929 
Port,3840 
atlanta metro,3761 
Newton,3753 
Plains,3726 
HTML5,3717 
prc,3698 
النقدية,3671 
Black,3666 
ogun,3661 
Opera,3659 
borno,3656 
Tennis,3631 
nev.,3614 
Taal,3582 
QB,3578 
the Maple Leafs,3575 
ON,3570 
Weibo,3546 
Offering,3541 
Второе,3515 
Tsitsipas,3509 
N37b,3492 
WhatsApp \n  ,3479 
Ligue,3474 
Los Angeles Kings,3460 
the United States District Court,3444 
Dyegh,3443 
Trong,3417 
Onitsha,3415 
IG,3414 
Kogi Governorship,3403 
Нилов,2299 
Island,3392 
Zacks Rank,3392 
Больше,3386 
Feb,3384 
del.,3384 
Sun,3381 
Lalong Charges Christians,3367 
Ring,3357 
Ermm,3329 
IRVINE,3326 
HitBTC,3325 
Store,3314 
MA,3309 
Dayton,3301 
Beit,3292 
стоит,3283 
Hawks,3268 
md,3257 
Green Zone,3246 
warsaw,3239 
إخطارًا,3236 
App,3177 
dnipro,3071 
Metro,3056 
United States District Court,3223 
w.va,3218 
Гарри,3191 
Ogun\n  -,3190 
Cedar Rapids,3181 
Abuja A High Court,3178 
مثلما,3177 
dc,3158 
Ndigbo,3155 
